API Key,API Key,
Action,thao tác,
Action Type,Loại hành động,
Action type not implemented: {},Loại hành động chưa được triển khai: {},
Active,có hiệu lực,
Active Version,Phiên bản đang hoạt động,
Additional Information,Thông tin bổ sung,
Affected Operations,Các công đoạn bị ảnh hưởng,
Alternatives,Các lựa chọn khác,
Approved,Đã được phê duyệt,
Available Quantity,Số lượng có sẵn,
Best Reward,Phần thưởng tốt nhất,
Bulk Edit {0},Chỉnh sửa   hàng loạt {0},
Cancelled,Đã hủy,
Code,Code,
Company,Công ty,
Complete,Hoàn chỉnh,
Completed,Hoàn thành,
Confidence,Độ tin cậy,
Create Purchase Order,Tạo đơn đặt hàng,
Create Purchase Orders,Tạo đơn đặt hàng mua,
Created,Tạo,
Current Stock,Tồn kho hiện tại,
Delay Reason,Lý do trễ,
Description,Mô tả,
Details,Chi tiết,
Difference,Sự khác biệt,
Dismiss,Bỏ qua,
Do not edit headers which are preset in the template,Không sửa tiêu đề được đặt sẵn trong mẫu,
Draft,Nháp,
Duration,Thời lượng,
End Time,End Time,
Episodes,Số episode,
Error,Lỗi,
Evaluation Results,Kết quả đánh giá,
Example,Thí dụ,
Export,Xuất,
Export not allowed. You need {0} role to export.,Xuất khẩu không được phép. Bạn cần {0} vai trò xuất khẩu.,
Failed,Thất bại,
Gantt,Biểu đồ Gantt,
Gantt Chart,Biểu đồ Gantt,
Heuristic,Phương pháp Heuristic,
Item,Hạng mục,
Item Group,Nhóm sản phẩm,
Item Name,Tên sản phẩm,
Items,Khoản mục,
Job,Việc làm,
Job Card,Phiếu công việc,
Job Card '{0}' not found. It may have been deleted or the operation index was invalid.,Job Card '{0}' không tìm thấy. Có thể đã bị xóa hoặc index operation không hợp lệ.,
Job prioritized by moving earlier in schedule,Công việc được ưu tiên bằng cách dời lên sớm hơn trong lịch trình,
Jobs On Time,Công việc đúng hạn,
Keyboard Shortcuts,Các phím tắt bàn phím,
Language,Ngôn ngữ,
Late Job,Công việc trễ,
Lead Time (Days),Thời gian dẫn đầu (Ngày),
Lead Time Days,Các ngày Tiềm năng,
Machine,Máy móc,
Manual,Hướng dẫn sử dụng,
Material,Vật liệu,
Mean Reward,Phần thưởng trung bình,
Monthly,Hàng tháng,
No action needed,Không cần hành động,
No target operation specified. The RL agent may need to be retrained with more data.,Không có operation được chỉ định. Agent RL cần được huấn luyện lại với nhiều dữ liệu hơn.,
None,không ai,
Not Started,Chưa bắt đầu,
Notes,Ghi chú:,
Operation,Công đoạn,
Ordered,Ra lệnh,
Pending,Chờ xử lý,
Plan Name,Tên kế hoạch,
Planned,Kế hoạch,
Planned End Time,Thời gian kết thúc dự kiến,
Planned Quantity,Số lượng dự kiến,
Planned Start Date,Ngày bắt đầu lên kế hoạch,
Planned Start Time,Thời gian bắt đầu dự kiến,
Production Plan,Kế hoạch sản xuất,
Production Plan Item,Kế hoạch sản xuất hàng,
Quarterly,Quý,
RL Agent,Agent RL,
Reason,Lý do,
Recommendation,Khuyến nghị,
Recommended Action,Hành động đề xuất,
Rejected,Bị từ chối,
Reload,Nạp lại,
Remarks,Ghi chú,
Reorder Level,Sắp xếp lại Cấp,
Required Date,Ngày yêu cầu,
Required Quantity,Số lượng yêu cầu,
Rescheduled 30 minutes earlier,Đã dời lịch sớm hơn 30 phút,
Rescheduled 30 minutes later,Đã dời lịch muộn hơn 30 phút,
Run,Chạy,
Safety Stock,Hàng hóa dự trữ,
Sales Order,Đơn đặt hàng,
Schedule Status,Trạng thái lịch trình,
Scheduled Job,Công việc đã lên lịch,
Scheduling Run,Lần chạy lập lịch,
Scheduling completed successfully,Lập lịch hoàn thành thành công,
Session Defaults,Mặc định phiên,
Solve Time,Thời gian giải,
Start Time,Thời gian bắt đầu,
Status,Trạng thái,
Success,Sự thành công,
Summary,Tóm lược,
System Manager,Hệ thống quản lý,
Table updated,bảng cập nhật,
Target,Mục tiêu,
Target Machine,Máy mục tiêu,
Target Operation,Công đoạn mục tiêu,
Target machine required,Yêu cầu máy đích,
The CSV format is case sensitive,Định dạng CSV phân biệt chữ hoa chữ thường,
Total Tardiness,Tổng thời gian trễ,
Training Time,Thời gian huấn luyện,
Type,Loại,
Unknown,không xác định,
Utilities,Tiện ích,
Version,Phiên bản,
View Website,Xem trang web,
Warehouse,Kho hàng,
Weekly,Hàng tuần,
Work Shift,Ca làm việc,
Working Hours,Giờ làm việc,
Workstation,Trạm làm việc,
Yearly,Hàng năm,
